"item","Demanda","Valor","addValue"
"2017-01-01 01","36351.637","0.281369",""
"2017-01-01 02","35011.131","0.615036",""
"2017-01-01 03","33672.041","1.128633",""
"2017-01-01 04","32234.226","1.08044",""
"2017-01-01 05","31446.687","1.054042",""
"2017-01-01 06","31000.524","1.039087",""
"2017-01-01 07","30123.893","0.938741",""
"2017-01-01 08","29033.839","0.445547",""
"2017-01-01 09","30379.118","0.061341",""
"2017-01-01 10","31686.222","0.06398",""
"2017-01-01 11","34082.973","0.364744",""
"2017-01-01 12","35744.073","0.733766",""
"2017-01-01 13","37089.651","0.761388",""
"2017-01-01 14","38075.278","0.843126",""
"2017-01-01 15","38333.521","0.851425",""
"2017-01-01 16","37959.862","0.843126",""
"2017-01-01 17","37637.764","0.805573",""
"2017-01-01 18","37172.511","0.763089",""
"2017-01-01 19","36800.708","0.782704",""
"2017-01-01 20","36749.334","1.028955",""
"2017-01-01 21","36817.077","1.219181",""
"2017-01-01 22","40345.551","1.379473",""
"2017-01-01 23","39897.169","0.985512",""
"2017-01-01 24","38459.146","0.45817",""
"2017-01-02 01","35996.913","0.072684",""
"2017-01-02 02","33981.144","0.068614",""
"2017-01-02 03","31982.552","0.064579",""
"2017-01-02 04","31382.171","0.639999",""
"2017-01-02 05","30996.445","0.824067",""
"2017-01-02 06","30582.177","0.524883",""
"2017-01-02 07","31316.099","0.033724",""
"2017-01-02 08","32682.513","0.065992",""
"2017-01-02 09","35995.784","0.518465",""
"2017-01-02 10","39526.679","0.973701",""
"2017-01-02 11","44804.939","1.347992",""
"2017-01-02 12","48172.397","1.59845",""
"2017-01-02 13","49968.858","1.678238",""
"2017-01-02 14","51754.861","1.738222",""
"2017-01-02 15","51996.151","1.746326",""
"2017-01-02 16","51585.043","1.73252",""
"2017-01-02 17","51211.226","1.719964",""
"2017-01-02 18","50455.917","1.694596",""
"2017-01-02 19","49152.752","1.667371",""
"2017-01-02 20","47444.057","1.609408",""
"2017-01-02 21","47083.804","1.597187",""
"2017-01-02 22","47391.411","1.607622",""
"2017-01-02 23","44574.634","1.512071",""
"2017-01-02 24","41667.024","1.413438",""
"2017-01-03 01","37599.331","1.26533",""
"2017-01-03 02","35367.659","0.956943",""
"2017-01-03 03","33320.379","0.858939",""
"2017-01-03 04","32677.392","0.695005",""
"2017-01-03 05","31838.998","0.651459",""
"2017-01-03 06","32353.863","0.955971",""
"2017-01-03 07","36216.377","1.233415",""
"2017-01-03 08","47660.707","1.623173",""
"2017-01-03 09","59841.801","2.130659",""
"2017-01-03 10","68202.835","2.428353",""
"2017-01-03 11","75070.189","2.672864",""
"2017-01-03 12","78120.826","2.781482",""
"2017-01-03 13","81228.116","2.892117",""
"2017-01-03 14","82626.952","2.941922",""
"2017-01-03 15","83016.473","2.955791",""
"2017-01-03 16","83578.316","2.975795",""
"2017-01-03 17","83308.145","2.966176",""
"2017-01-03 18","80662.106","2.871964",""
"2017-01-03 19","73738.029","2.590692",""
"2017-01-03 20","64083.686","2.251499",""
"2017-01-03 21","57220.479","2.010369",""
"2017-01-03 22","53956.202","1.895683",""
"2017-01-03 23","48973.95","1.720637",""
"2017-01-03 24","43914.159","1.542869",""
"2017-01-04 01","39927.44","1.359803",""
"2017-01-04 02","36847.792","1.098675",""
"2017-01-04 03","34489.749","0.937832",""
"2017-01-04 04","33852.911","0.920515",""
"2017-01-04 05","33185.539","0.902369",""
"2017-01-04 06","33427.395","0.908945",""
"2017-01-04 07","37212.543","1.011869",""
"2017-01-04 08","48208.301","1.310861",""
"2017-01-04 09","60303.822","2.11464",""
"2017-01-04 10","69049.465","2.486383",""
"2017-01-04 11","76042.214","2.738182",""
"2017-01-04 12","79617.533","2.866925",""
"2017-01-04 13","81707.799","2.942192",""
"2017-01-04 14","83439.33","3.004543",""
"2017-01-04 15","83334.246","3.000759",""
"2017-01-04 16","83612.251","3.010769",""
"2017-01-04 17","83452.03","3.004999",""
"2017-01-04 18","80805.3","2.909695",""
"2017-01-04 19","74699.052","2.654623",""
"2017-01-04 20","64936.288","2.307678",""
"2017-01-04 21","57728.532","2.051532",""
"2017-01-04 22","54656.205","1.942348",""
"2017-01-04 23","50210.425","1.784357",""
"2017-01-04 24","45592.098","1.620232",""
"2017-01-05 01","40944.998","1.408236",""
"2017-01-05 02","37412.467","1.186017",""
"2017-01-05 03","35618.935","1.021279",""
"2017-01-05 04","34630.809","1.004601",""
"2017-01-05 05","33593.781","1.040089",""
"2017-01-05 06","33987.368","1.166653",""
"2017-01-05 07","37483.81","1.289195",""
"2017-01-05 08","48861.24","1.680503",""
"2017-01-05 09","61049.8","2.198324",""
"2017-01-05 10","69966.081","2.519388",""
"2017-01-05 11","77742.508","2.799408",""
"2017-01-05 12","81533.211","2.935906",""
"2017-01-05 13","84336.73","3.036857",""
"2017-01-05 14","86176.148","3.103092",""
"2017-01-05 15","86002.746","3.096848",""
"2017-01-05 16","86725.757","3.122883",""
"2017-01-05 17","86726.328","3.122903",""
"2017-01-05 18","84021.112","3.025492",""
"2017-01-05 19","77011.302","2.747161",""
"2017-01-05 20","66466.11","2.370991",""
"2017-01-05 21","58486.917","2.086356",""
"2017-01-05 22","55389.704","1.975871",""
"2017-01-05 23","50646.129","1.806658",""
"2017-01-05 24","46072.793","1.643517",""
"2017-01-06 01","42599.965","1.476679",""
"2017-01-06 02","39528.538","1.210885",""
"2017-01-06 03","36540.336","0.991701",""
"2017-01-06 04","35329.723","0.958845",""
"2017-01-06 05","34944.408","0.960125",""
"2017-01-06 06","34685.702","0.99496",""
"2017-01-06 07","38282.393","1.098131",""
"2017-01-06 08","49154.113","1.621319",""
"2017-01-06 09","61460.241","2.283213",""
"2017-01-06 10","70279.256","2.610834",""
"2017-01-06 11","78082.888","2.900734",""
"2017-01-06 12","81977.926","3.045433",""
"2017-01-06 13","83884.637","3.116266",""
"2017-01-06 14","84809.858","3.150638",""
"2017-01-06 15","84230.113","3.1291",""
"2017-01-06 16","83909.549","3.117192",""
"2017-01-06 17","82409.96","3.061483",""
"2017-01-06 18","78340.605","2.910309",""
"2017-01-06 19","71686.532","2.639035",""
"2017-01-06 20","63065.658","2.32167",""
"2017-01-06 21","56251.532","2.070818",""
"2017-01-06 22","52989.418","1.950728",""
"2017-01-06 23","48695.436","1.792651",""
"2017-01-06 24","44970.362","1.655518",""
"2017-01-07 01","41559.776","1.471333",""
"2017-01-07 02","38244.239","1.348815",""
"2017-01-07 03","36842.133","1.26224",""
"2017-01-07 04","35192.421","1.153708",""
"2017-01-07 05","33849.532","0.98007",""
"2017-01-07 06","33385.825","0.966644",""
"2017-01-07 07","33135.253","0.946033",""
"2017-01-07 08","33909.8","0.972703",""
"2017-01-07 09","39021.956","1.412943",""
"2017-01-07 10","45509.748","1.650917",""
"2017-01-07 11","52793.021","1.915126",""
"2017-01-07 12","56477.192","2.048774",""
"2017-01-07 13","57327.405","2.079616",""
"2017-01-07 14","57691.499","2.092823",""
"2017-01-07 15","56114.842","2.035629",""
"2017-01-07 16","54585.591","1.980153",""
"2017-01-07 17","53872.267","1.954277",""
"2017-01-07 18","53161.638","1.928497",""
