"item","Demanda","Valor","addValue"
"2017-01-01 01","31929.499","0.24714",""
"2017-01-01 02","31600.471","0.555122",""
"2017-01-01 03","30670.967","1.028041",""
"2017-01-01 04","29993.559","1.005336",""
"2017-01-01 05","29396.912","0.985337",""
"2017-01-01 06","28957.13","0.970596",""
"2017-01-01 07","28410.834","0.885358",""
"2017-01-01 08","27537.287","0.422581",""
"2017-01-01 09","28022.009","0.056582",""
"2017-01-01 10","29105.658","0.058769",""
"2017-01-01 11","30579.333","0.325192",""
"2017-01-01 12","31992.548","0.654601",""
"2017-01-01 13","33295.699","0.681264",""
"2017-01-01 14","34156.682","0.754055",""
"2017-01-01 15","34719.541","0.768818",""
"2017-01-01 16","34517.453","0.764343",""
"2017-01-01 17","34274.671","0.731284",""
"2017-01-01 18","33851.466","0.692635",""
"2017-01-01 19","33534.29","0.710974",""
"2017-01-01 20","33374.549","0.929971",""
"2017-01-01 21","33499.658","1.107072",""
"2017-01-01 22","35041.898","1.193416",""
"2017-01-01 23","34932.72","0.860532",""
"2017-01-01 24","34002.704","0.40508",""
"2017-01-02 01","32461.176","0.065544",""
"2017-01-02 02","31071.986","0.06274",""
"2017-01-02 03","29795.503","0.060163",""
"2017-01-02 04","28996.216","0.59134",""
"2017-01-02 05","28636.048","0.761314",""
"2017-01-02 06","28261.824","0.485058",""
"2017-01-02 07","28263.195","0.030437",""
"2017-01-02 08","28783.967","0.05812",""
"2017-01-02 09","31128.947","0.44627",""
"2017-01-02 10","34239.945","0.841162",""
"2017-01-02 11","37682.994","1.128649",""
"2017-01-02 12","40834.573","1.352219",""
"2017-01-02 13","42322.126","1.415721",""
"2017-01-02 14","43670.395","1.460822",""
"2017-01-02 15","43922.633","1.46926",""
"2017-01-02 16","43544.711","1.456618",""
"2017-01-02 17","42974.989","1.437559",""
"2017-01-02 18","42336.053","1.416187",""
"2017-01-02 19","41076.33","1.390636",""
"2017-01-02 20","40201.148","1.361007",""
"2017-01-02 21","39072.219","1.322786",""
"2017-01-02 22","38877.771","1.316204",""
"2017-01-02 23","37934.248","1.284261",""
"2017-01-02 24","36145.927","1.223718",""
"2017-01-03 01","33711.894","1.134507",""
"2017-01-03 02","31553.144","0.853733",""
"2017-01-03 03","30216.985","0.778939",""
"2017-01-03 04","29436.717","0.626081",""
"2017-01-03 05","29126.43","0.595957",""
"2017-01-03 06","29254.754","0.8644",""
"2017-01-03 07","31652.429","1.077981",""
"2017-01-03 08","39185.134","1.334522",""
"2017-01-03 09","48085.937","1.682966",""
"2017-01-03 10","55388.006","1.938531",""
"2017-01-03 11","60298.281","2.110386",""
"2017-01-03 12","63169.249","2.210868",""
"2017-01-03 13","65764.699","2.301707",""
"2017-01-03 14","67320.516","2.356159",""
"2017-01-03 15","68062.529","2.382128",""
"2017-01-03 16","69002.563","2.415029",""
"2017-01-03 17","68686.431","2.403964",""
"2017-01-03 18","67047.389","2.346599",""
"2017-01-03 19","61354.739","2.122584",""
"2017-01-03 20","54496.856","1.885334",""
"2017-01-03 21","49620.799","1.716646",""
"2017-01-03 22","46857.039","1.621032",""
"2017-01-03 23","42902.211","1.484214",""
"2017-01-03 24","39579.219","1.369254",""
"2017-01-04 01","36560.96","1.232847",""
"2017-01-04 02","34049.271","1.006065",""
"2017-01-04 03","32527.785","0.875726",""
