"item","Demanda","Valor","addValue"
"2017-01-01 01","35658.005","0.276",""
"2017-01-01 02","34836.463","0.616657",""
"2017-01-01 03","32957.062","1.11354",""
"2017-01-01 04","31503.593","1.064431",""
"2017-01-01 05","30558.219","1.032489",""
"2017-01-01 06","29776.045","1.006061",""
"2017-01-01 07","28667.53","0.899145",""
"2017-01-01 08","27717.085","0.429071",""
"2017-01-01 09","28026.12","0.05659",""
"2017-01-01 10","29622.706","0.059814",""
"2017-01-01 11","31482.282","0.339031",""
"2017-01-01 12","33498.049","0.694423",""
"2017-01-01 13","35483.089","0.735574",""
"2017-01-01 14","37290.451","0.833277",""
"2017-01-01 15","38164.979","0.855387",""
"2017-01-01 16","37529.15","0.841137",""
"2017-01-01 17","36637.179","0.791554",""
"2017-01-01 18","36052.595","0.74738",""
"2017-01-01 19","35472.302","0.763999",""
"2017-01-01 20","35769.367","1.013555",""
"2017-01-01 21","36488.035","1.22302",""
"2017-01-01 22","39422.24","1.363823",""
"2017-01-01 23","39701.338","0.991363",""
"2017-01-01 24","37991.2","0.460266",""
"2017-01-02 01","35549.222","0.07178",""
"2017-01-02 02","32754.45","0.066137",""
"2017-01-02 03","30535.59","0.061657",""
"2017-01-02 04","29324.008","0.603947",""
"2017-01-02 05","28800.925","0.771513",""
"2017-01-02 06","28239.399","0.488475",""
"2017-01-02 07","28669.282","0.030874",""
"2017-01-02 08","28671.557","0.059823",""
"2017-01-02 09","30985.145","0.450465",""
"2017-01-02 10","34622.141","0.862203",""
"2017-01-02 11","38040.644","1.154724",""
"2017-01-02 12","41278.83","1.380821",""
"2017-01-02 13","43768.502","1.481779",""
"2017-01-02 14","45768.322","1.549483",""
"2017-01-02 15","45618.638","1.544416",""
"2017-01-02 16","44443.116","1.504618",""
"2017-01-02 17","43571.158","1.475098",""
"2017-01-02 18","42719.511","1.446266",""
"2017-01-02 19","41495.301","1.424371",""
"2017-01-02 20","41605.734","1.428161",""
"2017-01-02 21","42650.828","1.464035",""
"2017-01-02 22","46168.834","1.584794",""
"2017-01-02 23","45679.185","1.567987",""
"2017-01-02 24","42529.223","1.45986",""
"2017-01-03 01","38075.178","1.289032",""
"2017-01-03 02","34078.365","0.928939",""
"2017-01-03 03","31431.168","0.816585",""
"2017-01-03 04","30211.268","0.646621",""
"2017-01-03 05","29766.907","0.613069",""
"2017-01-03 06","30043.092","0.893759",""
"2017-01-03 07","33494.838","1.149746",""
"2017-01-03 08","41823.554","1.435638",""
"2017-01-03 09","50410.623","1.80165",""
"2017-01-03 10","57663.896","2.060878",""
"2017-01-03 11","61741.973","2.206626",""
"2017-01-03 12","64699.893","2.312341",""
"2017-01-03 13","67771.98","2.422136",""
"2017-01-03 14","68782.383","2.458247",""
"2017-01-03 15","69733.136","2.492227",""
"2017-01-03 16","71068.694","2.539959",""
"2017-01-03 17","70387.032","2.515596",""
"2017-01-03 18","67063.763","2.396825",""
"2017-01-03 19","59941.447","2.122105",""
"2017-01-03 20","54449.625","1.927678",""
"2017-01-03 21","51072.999","1.808135",""
"2017-01-03 22","52566.721","1.861017",""
"2017-01-03 23","50635.273","1.792639",""
"2017-01-03 24","45349.145","1.605494",""
"2017-01-04 01","40161.625","1.373185",""
"2017-01-04 02","35707.153","1.069471",""
"2017-01-04 03","32851.295","0.897703",""
"2017-01-04 04","31729.708","0.867053",""
"2017-01-04 05","31277.367","0.854693",""
"2017-01-04 06","31518.447","0.86128",""
"2017-01-04 07","35024.663","0.957092",""
"2017-01-04 08","42820.968","1.170136",""
"2017-01-04 09","51743.497","1.817942",""
"2017-01-04 10","58483.44","2.10985",""
"2017-01-04 11","63297.536","2.283524",""
"2017-01-04 12","66608.716","2.402977",""
"2017-01-04 13","68983.765","2.488659",""
"2017-01-04 14","69732.232","2.515662",""
"2017-01-04 15","70636.483","2.548283",""
"2017-01-04 16","72035.684","2.598761",""
"2017-01-04 17","71470.635","2.578376",""
"2017-01-04 18","68263.697","2.462682",""
"2017-01-04 19","61504.323","2.198133",""
"2017-01-04 20","55957.65","1.999898",""
"2017-01-04 21","52560.245","1.878476",""
"2017-01-04 22","53548.063","1.91378",""
"2017-01-04 23","50721.242","1.812751",""
"2017-01-04 24","45692.181","1.633015",""
"2017-01-05 01","40331.988","1.392582",""
"2017-01-05 02","35777.826","1.136605",""
"2017-01-05 03","32976.773","0.949961",""
"2017-01-05 04","31757.8","0.925533",""
"2017-01-05 05","31242.237","0.971489",""
"2017-01-05 06","31538.352","1.086833",""
"2017-01-05 07","34994.974","1.208306",""
"2017-01-05 08","43220.018","1.4923",""
"2017-01-05 09","52723.233","1.902045",""
"2017-01-05 10","60365.534","2.177749",""
"2017-01-05 11","65733.445","2.371401",""
"2017-01-05 12","68693.595","2.478192",""
"2017-01-05 13","71572.836","2.582063",""
"2017-01-05 14","71946.677","2.59555",""
"2017-01-05 15","72669.055","2.62161",""
"2017-01-05 16","74010.581","2.670007",""
"2017-01-05 17","73909.379","2.666356",""
"2017-01-05 18","70581.66","2.546306",""
"2017-01-05 19","63282.062","2.270187",""
"2017-01-05 20","56373.232","2.022339",""
"2017-01-05 21","52662.998","1.889238",""
"2017-01-05 22","53500.192","1.919271",""
"2017-01-05 23","50813.946","1.822905",""
"2017-01-05 24","46062.115","1.652437",""
"2017-01-06 01","41029.145","1.433253",""
"2017-01-06 02","36567.049","1.127534",""
"2017-01-06 03","33555.353","0.917452",""
"2017-01-06 04","32264.667","0.882163",""
"2017-01-06 05","31892.933","0.882711",""
"2017-01-06 06","32317.104","0.93353",""
"2017-01-06 07","35895.406","1.036894",""
"2017-01-06 08","43992.896","1.459945",""
"2017-01-06 09","53039.581","1.98108",""
"2017-01-06 10","60172.91","2.247516",""
"2017-01-06 11","65299.774","2.43901",""
"2017-01-06 12","68507.14","2.558809",""
"2017-01-06 13","71154.216","2.657679",""
"2017-01-06 14","71627.349","2.675351",""
"2017-01-06 15","72038.448","2.690705",""
"2017-01-06 16","72394.275","2.703997",""
"2017-01-06 17","70681.269","2.640014",""
"2017-01-06 18","66916.087","2.49938",""
"2017-01-06 19","60566.372","2.250007",""
"2017-01-06 20","54512.247","2.025099",""
"2017-01-06 21","50776.553","1.88632",""
"2017-01-06 22","51091.095","1.898005",""
"2017-01-06 23","48573.19","1.804466",""
"2017-01-06 24","44691.173","1.660251",""
"2017-01-07 01","40955.204","1.458183",""
"2017-01-07 02","37295.478","1.32287",""
"2017-01-07 03","34421.815","1.186256",""
"2017-01-07 04","32786.237","1.081434",""
"2017-01-07 05","32045.384","0.932138",""
"2017-01-07 06","31803.766","0.925111",""
"2017-01-07 07","32145.262","0.924246",""
"2017-01-07 08","34159.569","0.984457",""
"2017-01-07 09","39180.7","1.426588",""
"2017-01-07 10","45651.427","1.668324",""
"2017-01-07 11","50964.496","1.862489",""
"2017-01-07 12","53986.675","1.972934",""
"2017-01-07 13","55977.037","2.045671",""
"2017-01-07 14","56125.056","2.05108",""
"2017-01-07 15","54446.742","1.989747",""
"2017-01-07 16","52123.011","1.904827",""
"2017-01-07 17","50449.758","1.843678",""
"2017-01-07 18","48020.494","1.754901",""
"2017-01-07 19","45560.34","1.664995",""
"2017-01-07 20","44810.415","1.637589",""
"2017-01-07 21","43963.446","1.606636",""
"2017-01-07 22","46348.151","1.693785",""
"2017-01-07 23","44792.691","1.636941",""
"2017-01-07 24","42189.151","1.533293",""
"2017-01-08 01","39143.127","1.338444",""
"2017-01-08 02","36003.768","1.231098",""
"2017-01-08 03","33557.284","1.11363",""
"2017-01-08 04","32006.013","1.029898",""
"2017-01-08 05","31208.382","1.004231",""
"2017-01-08 06","30659.827","0.875358",""
"2017-01-08 07","30196.145","0.849948",""
"2017-01-08 08","29737.286","0.81306",""
"2017-01-08 09","31869.057","0.901318",""
"2017-01-08 10","35454.56","1.198029",""
"2017-01-08 11","39547.407","1.373522",""
