"item","Demanda","Valor","addValue"
"2017-01-01 01","61887.66","0.479022",""
"2017-01-01 02","59247.842","1.044786",""
"2017-01-01 03","55013.474","1.851369",""
"2017-01-01 04","50586.673","1.702393",""
"2017-01-01 05","46988.914","1.581317",""
"2017-01-01 06","44180.013","1.48679",""
"2017-01-01 07","40584.879","1.270197",""
"2017-01-01 08","36501.624","0.562602",""
"2017-01-01 09","38121.799","0.076975",""
"2017-01-01 10","41534.279","0.083865",""
"2017-01-01 11","45970.207","0.491957",""
"2017-01-01 12","50606.495","1.042273",""
"2017-01-01 13","54155.788","1.115374",""
"2017-01-01 14","57131.163","1.268939",""
"2017-01-01 15","58806.77","1.310114",""
"2017-01-01 16","57574.464","1.282661",""
"2017-01-01 17","56260.017","1.207937",""
"2017-01-01 18","55624.826","1.145629",""
"2017-01-01 19","55766.745","1.197346",""
"2017-01-01 20","56114.175","1.586264",""
"2017-01-01 21","57143.05","1.915343",""
"2017-01-01 22","68011.156","2.348288",""
"2017-01-01 23","69303.208","1.730538",""
"2017-01-01 24","65185.17","0.785336",""
"2017-01-02 01","59579.272","0.120301",""
"2017-01-02 02","52957.903","0.106932",""
"2017-01-02 03","47463.618","0.095837",""
"2017-01-02 04","44174.445","0.906828",""
"2017-01-02 05","42401.554","1.130137",""
"2017-01-02 06","41024.895","0.706873",""
"2017-01-02 07","39013.836","0.042014",""
"2017-01-02 08","38322.522","0.07996",""
"2017-01-02 09","42023.31","0.605282",""
"2017-01-02 10","49260.101","1.216788",""
"2017-01-02 11","57726.014","1.740617",""
"2017-01-02 12","63584.803","2.114141",""
"2017-01-02 13","67738.652","2.279609",""
"2017-01-02 14","71890.4","2.419327",""
"2017-01-02 15","72650.022","2.444891",""
"2017-01-02 16","70780.058","2.381961",""
"2017-01-02 17","69582.215","2.34165",""
"2017-01-02 18","68440.197","2.303218",""
"2017-01-02 19","68155.248","2.334914",""
"2017-01-02 20","67906.653","2.326397",""
"2017-01-02 21","69671.25","2.38685",""
"2017-01-02 22","79910.169","2.737622",""
"2017-01-02 23","77854.474","2.667197",""
"2017-01-02 24","70614.962","2.41918",""
"2017-01-03 01","61292.073","2.070912",""
"2017-01-03 02","52191.294","1.419165",""
"2017-01-03 03","46799.492","1.212706",""
"2017-01-03 04","43789.302","0.937236",""
