"item","Demanda","Valor","addValue"
"2017-01-01 01","30485.364","0.235962",""
"2017-01-01 02","29296.807","0.516624",""
"2017-01-01 03","27903.371","0.940911",""
"2017-01-01 04","26428.333","0.891171",""
"2017-01-01 05","25108.681","0.846673",""
"2017-01-01 06","24071.269","0.811691",""
"2017-01-01 07","22691.79","0.710192",""
"2017-01-01 08","20870.528","0.321679",""
"2017-01-01 09","21038.018","0.042479",""
"2017-01-01 10","22369.969","0.045169",""
"2017-01-01 11","23921.228","0.255996",""
"2017-01-01 12","25367.116","0.522452",""
"2017-01-01 13","26846.806","0.552927",""
"2017-01-01 14","27632.768","0.613751",""
"2017-01-01 15","27872.218","0.620945",""
"2017-01-01 16","27650.256","0.616",""
"2017-01-01 17","27264.267","0.58538",""
"2017-01-01 18","27177.6","0.55974",""
"2017-01-01 19","27362.153","0.58564",""
"2017-01-01 20","27439.631","0.771984",""
"2017-01-01 21","27819.128","0.926835",""
"2017-01-01 22","31749.638","1.091977",""
"2017-01-01 23","32915.647","0.81749",""
"2017-01-01 24","31674.892","0.37948",""
"2017-01-02 01","29637.359","0.059843",""
"2017-01-02 02","26783.979","0.054081",""
"2017-01-02 03","24548.914","0.049569",""
"2017-01-02 04","23454.812","0.481488",""
"2017-01-02 05","22840.96","0.610321",""
"2017-01-02 06","22377.087","0.385565",""
"2017-01-02 07","22013.524","0.023706",""
"2017-01-02 08","21526.073","0.044913",""
"2017-01-02 09","23825.288","0.343167",""
"2017-01-02 10","27116.389","0.66981",""
"2017-01-02 11","30809.922","0.929014",""
"2017-01-02 12","33591.099","1.116876",""
"2017-01-02 13","35301.732","1.188009",""
"2017-01-02 14","36648.726","1.233339",""
"2017-01-02 15","36531.683","1.229401",""
"2017-01-02 16","36018.88","1.212143",""
"2017-01-02 17","35556.521","1.196584",""
"2017-01-02 18","35117.94","1.181824",""
"2017-01-02 19","34647.688","1.182323",""
"2017-01-02 20","33838.703","1.154717",""
"2017-01-02 21","34206.518","1.167268",""
"2017-01-02 22","36734.775","1.253543",""
"2017-01-02 23","36484.694","1.245009",""
"2017-01-02 24","34332.466","1.171566",""
"2017-01-03 01","32081.462","1.083956",""
"2017-01-03 02","28978.798","0.78798",""
"2017-01-03 03","27102.166","0.702293",""
"2017-01-03 04","26150.959","0.559717",""
"2017-01-03 05","25727.51","0.528142",""
"2017-01-03 06","25678.672","0.763922",""
"2017-01-03 07","27067.866","0.927312",""
"2017-01-03 08","30438.125","1.042772",""
"2017-01-03 09","37606.266","1.336435",""
"2017-01-03 10","43026.029","1.52904",""
"2017-01-03 11","46369.14","1.647847",""
"2017-01-03 12","48765.067","1.732992",""
"2017-01-03 13","50138.617","1.781804",""
"2017-01-03 14","51200.127","1.819528",""
"2017-01-03 15","53549.163","1.903007",""
"2017-01-03 16","53933.607","1.91667",""
"2017-01-03 17","52909.25","1.880266",""
"2017-01-03 18","48225.182","1.713806",""
"2017-01-03 19","44043.257","1.550369",""
"2017-01-03 20","41788.277","1.470991",""
"2017-01-03 21","41730.173","1.468945",""
"2017-01-03 22","43154.943","1.519099",""
"2017-01-03 23","41686.253","1.4674",""
"2017-01-03 24","39092.034","1.37608",""
"2017-01-04 01","35579.198","1.21411",""
"2017-01-04 02","32374.323","0.96747",""
"2017-01-04 03","30055.767","0.819288",""
"2017-01-04 04","29023.027","0.791137",""
"2017-01-04 05","28561.003","0.778542",""
"2017-01-04 06","28696.494","0.782235",""
"2017-01-04 07","30448.375","0.82999",""
"2017-01-04 08","32327.314","0.881208",""
"2017-01-04 09","38194.586","1.334206",""
"2017-01-04 10","44499.284","1.596371",""
"2017-01-04 11","49023.677","1.75868",""
"2017-01-04 12","52063.199","1.867721",""
"2017-01-04 13","48310.425","1.733093",""
"2017-01-04 14","53296.873","1.911978",""
"2017-01-04 15","55429.612","1.988487",""
"2017-01-04 16","56351.089","2.021545",""
"2017-01-04 17","54994.184","1.972867",""
"2017-01-04 18","50634.706","1.816475",""
"2017-01-04 19","45771.345","1.626602",""
"2017-01-04 20","43205.177","1.535407",""
"2017-01-04 21","42527.147","1.511312",""
"2017-01-04 22","43952.25","1.561957",""
"2017-01-04 23","42730.974","1.518555",""
"2017-01-04 24","39952.046","1.419798",""
"2017-01-05 01","36924.715","1.27245",""
"2017-01-05 02","33100.159","1.051541",""
"2017-01-05 03","31013.652","0.891322",""
"2017-01-05 04","29298.102","0.851877",""
"2017-01-05 05","28633.921","0.890383",""
"2017-01-05 06","28657.608","0.987561",""
"2017-01-05 07","30545.82","1.05263",""
"2017-01-05 08","33689.555","1.160965",""
"2017-01-05 09","40849.768","1.465449",""
"2017-01-05 10","46763.866","1.677612",""
"2017-01-05 11","49736.285","1.784245",""
"2017-01-05 12","53119.987","1.905632",""
"2017-01-05 13","54309.373","1.9483",""
"2017-01-05 14","54253.037","1.946278",""
"2017-01-05 15","55733.099","1.999375",""
"2017-01-05 16","56800.469","2.037666",""
"2017-01-05 17","55870.617","2.004308",""
"2017-01-05 18","51031.959","1.830725",""
"2017-01-05 19","46363.048","1.653871",""
"2017-01-05 20","43065.989","1.536258",""
"2017-01-05 21","42170.881","1.504327",""
"2017-01-05 22","43684.956","1.558338",""
"2017-01-05 23","43224.146","1.541899",""
"2017-01-05 24","40485.309","1.444199",""
"2017-01-06 01","37064.911","1.294772",""
"2017-01-06 02","33337.854","1.027963",""
"2017-01-06 03","31052.783","0.846942",""
"2017-01-06 04","29550.087","0.805957",""
"2017-01-06 05","29056.363","0.804203",""
"2017-01-06 06","29335.687","0.845436",""
"2017-01-06 07","30755.311","0.886349",""
"2017-01-06 08","33697.566","1.118285",""
"2017-01-06 09","40684.463","1.511405",""
"2017-01-06 10","46115.44","1.713162",""
"2017-01-06 11","49555.45","1.840957",""
"2017-01-06 12","51715.115","1.921187",""
"2017-01-06 13","53167.009","1.975124",""
"2017-01-06 14","54024.807","2.006991",""
"2017-01-06 15","54527.549","2.025667",""
"2017-01-06 16","52696.74","1.957653",""
"2017-01-06 17","50839.675","1.888665",""
"2017-01-06 18","46955.861","1.744384",""
"2017-01-06 19","43687.41","1.614158",""
"2017-01-06 20","41765.957","1.543165",""
"2017-01-06 21","41368.628","1.528484",""
"2017-01-06 22","42435.203","1.567892",""
"2017-01-06 23","41102.221","1.518641",""
"2017-01-06 24","39162.616","1.446976",""
"2017-01-07 01","36325.269","1.290897",""
