"item","Demanda","Valor","addValue"
"2017-01-01 01","43646.223","0.334892",""
"2017-01-01 02","41435.347","0.7251",""
"2017-01-01 03","38522.955","1.286042",""
"2017-01-01 04","35071.971","1.170835",""
"2017-01-01 05","32772.985","1.094086",""
"2017-01-01 06","30809.15","1.028526",""
"2017-01-01 07","28141.434","0.873174",""
"2017-01-01 08","25313.371","0.386749",""
"2017-01-01 09","26096.417","0.052693",""
"2017-01-01 10","28269.506","0.057081",""
"2017-01-01 11","31222.243","0.329926",""
"2017-01-01 12","34398.025","0.701504",""
"2017-01-01 13","37011.435","0.754801",""
"2017-01-01 14","39310.459","0.865186",""
"2017-01-01 15","40845.88","0.901729",""
"2017-01-01 16","40400.826","0.891904",""
"2017-01-01 17","39735.817","0.842454",""
"2017-01-01 18","39429.897","0.804123",""
"2017-01-01 19","39324.577","0.833736",""
"2017-01-01 20","39379.549","1.099949",""
"2017-01-01 21","39637.253","1.309902",""
"2017-01-01 22","45740.311","1.560848",""
"2017-01-01 23","46902.701","1.155401",""
"2017-01-01 24","45688.62","0.544296",""
"2017-01-02 01","42186.42","0.085182",""
"2017-01-02 02","37429.967","0.075578",""
"2017-01-02 03","33585.997","0.067816",""
"2017-01-02 04","31197.941","0.634142",""
"2017-01-02 05","30032.181","0.794389",""
"2017-01-02 06","28564.026","0.488323",""
"2017-01-02 07","27201.211","0.029293",""
"2017-01-02 08","27407.285","0.05534",""
"2017-01-02 09","30606.306","0.436717",""
"2017-01-02 10","37305.323","0.911446",""
"2017-01-02 11","45004.525","1.34188",""
"2017-01-02 12","51281.37","1.687804",""
"2017-01-02 13","53901.709","1.792187",""
"2017-01-02 14","56958.686","1.893828",""
"2017-01-02 15","58068.026","1.930714",""
"2017-01-02 16","57433.223","1.909607",""
"2017-01-02 17","56568.781","1.880864",""
"2017-01-02 18","56314.835","1.872421",""
"2017-01-02 19","55175.746","1.86797",""
"2017-01-02 20","54614.571","1.848972",""
"2017-01-02 21","54296.227","1.838195",""
"2017-01-02 22","56740.531","1.920946",""
"2017-01-02 23","53799.661","1.821383",""
"2017-01-02 24","48875.449","1.654674",""
"2017-01-03 01","43079.441","1.443953",""
"2017-01-03 02","36625.221","0.988504",""
"2017-01-03 03","32567.722","0.837345",""
"2017-01-03 04","30338.91","0.643227",""
"2017-01-03 05","29297.28","0.597481",""
"2017-01-03 06","29204.326","0.860945",""
"2017-01-03 07","30807.187","1.047122",""
"2017-01-03 08","33117.068","1.125633",""
"2017-01-03 09","37312.442","1.315948",""
"2017-01-03 10","44857.946","1.582066",""
"2017-01-03 11","49697.027","1.752731",""
