"item","Demanda","Valor","addValue"
"2017-01-01 01","48124.911","0.369257",""
"2017-01-01 02","47290.223","0.830741",""
"2017-01-01 03","45911.588","1.538882",""
"2017-01-01 04","44833.031","1.502731",""
"2017-01-01 05","44262.602","1.483611",""
"2017-01-01 06","43636.782","1.462635",""
"2017-01-01 07","42810.414","1.331206",""
"2017-01-01 08","41652.695","0.639192",""
"2017-01-01 09","42822.913","0.086467",""
"2017-01-01 10","44458.389","0.08977",""
"2017-01-01 11","46606.675","0.498769",""
"2017-01-01 12","48541.039","0.996467",""
"2017-01-01 13","50067.557","1.027803",""
"2017-01-01 14","51340.38","1.14032",""
"2017-01-01 15","51725.882","1.148882",""
"2017-01-01 16","51865.063","1.151974",""
"2017-01-01 17","51558.626","1.103526",""
"2017-01-01 18","51655.798","1.060407",""
"2017-01-01 19","51561.643","1.093178",""
"2017-01-01 20","51369.322","1.431389",""
"2017-01-01 21","51624.906","1.706062",""
"2017-01-01 22","53838.124","1.833556",""
"2017-01-01 23","53575.868","1.319788",""
"2017-01-01 24","51935.544","0.618716",""
"2017-01-02 01","49833.573","0.100623",""
"2017-01-02 02","47484.071","0.095879",""
"2017-01-02 03","45551.035","0.091976",""
"2017-01-02 04","44560.697","0.908759",""
"2017-01-02 05","43904.062","1.164273",""
"2017-01-02 06","43511.742","0.746794",""
"2017-01-02 07","43446.11","0.046787",""
"2017-01-02 08","43909.722","0.088661",""
"2017-01-02 09","47301.637","0.681308",""
"2017-01-02 10","50945.662","1.254995",""
"2017-01-02 11","54305.093","1.633811",""
"2017-01-02 12","57273.278","1.900434",""
"2017-01-02 13","59285.864","1.991157",""
"2017-01-02 14","60887.07","2.044935",""
"2017-01-02 15","61203.766","2.055571",""
"2017-01-02 16","60668.64","2.037598",""
"2017-01-02 17","60385.747","2.028097",""
"2017-01-02 18","60006.79","2.01537",""
"2017-01-02 19","59182.492","2.003618",""
"2017-01-02 20","58106.969","1.967207",""
"2017-01-02 21","57209.687","1.93683",""
"2017-01-02 22","58927.489","1.994985",""
"2017-01-02 23","58043.963","1.965074",""
"2017-01-02 24","54508.201","1.845371",""
"2017-01-03 01","51043.702","1.714338",""
"2017-01-03 02","48203.522","1.301",""
"2017-01-03 03","46158.865","1.189893",""
"2017-01-03 04","45173.682","0.960785",""
"2017-01-03 05","44613.021","0.909825",""
"2017-01-03 06","45122.258","1.333242",""
"2017-01-03 07","48696.21","1.658439",""
"2017-01-03 08","61182.357","2.083678",""
"2017-01-03 09","78312.281","2.756673",""
"2017-01-03 10","91156.309","3.208796",""
"2017-01-03 11","97210.729","3.421919",""
"2017-01-03 12","101088.555","3.558422",""
"2017-01-03 13","105464.212","3.71245",""
"2017-01-03 14","108046.654","3.803355",""
"2017-01-03 15","109564.078","3.856769",""
"2017-01-03 16","112155.203","3.94798",""
"2017-01-03 17","111515.82","3.925472",""
"2017-01-03 18","108096.609","3.805113",""
"2017-01-03 19","98056.478","3.405492",""
"2017-01-03 20","85651.345","2.974663",""
"2017-01-03 21","75295.85","2.615017",""
"2017-01-03 22","71032.898","2.466966",""
"2017-01-03 23","65270.411","2.266835",""
"2017-01-03 24","58985.659","2.048566",""
"2017-01-04 01","54289.354","1.834307",""
"2017-01-04 02","50512.266","1.492502",""
"2017-01-04 03","47703.322","1.287499",""
"2017-01-04 04","46390.339","1.252062",""
"2017-01-04 05","45975.365","1.240861",""
"2017-01-04 06","46284.89","1.249215",""
"2017-01-04 07","50256.003","1.356395",""
"2017-01-04 08","62764.735","1.694002",""
