L1,L2,L3,L4
0.66327,0.40671,0.20927,0.48690
0.62556,0.38519,0.56859,0.70505
0.58688,0.35274,0.20330,0.41891
0.53810,0.32324,0.20067,0.39679
0.50428,0.30578,0.20193,0.40361
0.48373,0.29878,0.46787,0.57005
0.45159,0.27858,0.19426,0.40415
0.37492,0.25956,0.19309,0.40438
0.38040,0.28762,0.25892,0.41095
0.40372,0.31138,0.25726,0.40919
0.43021,0.28195,0.57469,0.58298
0.45924,0.39969,0.62760,0.61679
0.49811,0.38205,0.63922,0.64820
0.53296,0.37405,0.62863,0.63621
0.54704,0.36652,0.23615,0.23462
0.54215,0.35646,0.59963,0.60149
0.53725,0.36781,0.57936,0.59534
0.52958,0.36815,0.20637,0.25702
0.53100,0.37356,0.21211,0.45275
0.53137,0.37859,0.18426,0.51170
0.60477,0.38500,0.18371,0.50957
0.74498,0.44032,0.16700,0.51879
0.72595,0.47407,0.16291,0.54508
0.66823,0.42347,0.15373,0.49129
0.58362,0.34011,0.55717,0.62853
0.51253,0.30112,0.24724,0.57209
0.47140,0.27820,0.25226,0.53994
0.44708,0.26897,0.24302,0.51939
0.43252,0.26690,0.24625,0.51548
0.44016,0.26821,0.25815,0.51921
0.44660,0.26943,0.25802,0.51115
0.43174,0.27908,0.25345,0.56950
0.49212,0.34729,0.30361,0.64683
0.55065,0.39065,0.29465,0.52334
0.60654,0.41420,0.81465,0.54108
0.64758,0.42734,0.87075,0.54258
0.67888,0.40527,0.91956,0.53440
0.71156,0.42363,0.94072,0.52736
0.71395,0.43638,0.99952,0.53666
0.73593,0.43283,1.00000,0.55049
0.75108,0.42588,0.95921,0.57165
0.73984,0.40624,0.88781,0.59940
0.72331,0.39410,0.84645,0.58810
0.70796,0.39963,0.79696,0.54781
0.73504,0.40728,0.75438,0.52672
0.84163,0.45152,0.80325,0.55041
0.79864,0.49021,0.80382,0.57835
0.73653,0.44130,0.75525,0.50085
0.64277,0.34808,0.72334,0.41552
0.56232,0.30183,0.65466,0.36778
0.51144,0.27954,0.59305,0.34553
0.48246,0.27231,0.55828,0.34774
0.46752,0.26807,0.52741,0.37364
0.46375,0.26540,0.52588,0.40581
0.47826,0.26838,0.55050,0.44759
0.47021,0.30126,0.57321,0.49908
0.52050,0.37732,0.77447,0.53058
0.58386,0.40694,0.90973,0.54880
0.62195,0.41521,0.92985,0.56226
0.66604,0.42355,0.96824,0.57549
0.69470,0.40942,0.95622,0.56376
0.72063,0.42897,0.94967,0.55475
0.72732,0.44304,0.93828,0.54486
0.75175,0.43568,0.94290,0.55559
0.76197,0.43758,0.97017,0.58558
0.75566,0.42507,0.33242,0.78081
0.72686,0.41535,0.32719,0.77367
0.70532,0.41763,0.30359,0.55528
0.73282,0.42272,0.27457,0.53445
0.84214,0.46804,0.24620,0.54993
0.81373,0.50693,0.24083,0.58754
0.74645,0.45404,0.20995,0.52002
0.65168,0.36216,0.25599,0.68271
0.56275,0.31650,0.18444,0.58405
0.51023,0.28832,0.25265,0.51825
0.48460,0.27529,0.26782,0.48816
0.46773,0.27357,0.28248,0.47523
0.46910,0.27574,0.31719,0.47586
0.49003,0.27841,0.30179,0.49981
0.47948,0.29829,0.29076,0.56484
0.52911,0.37563,0.31328,0.65171
0.59155,0.40597,0.36705,0.72095
0.63920,0.41988,0.37074,0.77602
0.67821,0.42856,0.23418,0.80214
0.70685,0.41260,0.19198,0.82343
0.73321,0.43028,0.26736,0.81034
0.73796,0.44176,0.38372,0.78454
0.75454,0.44170,0.38216,0.76145
0.76279,0.44058,0.36111,0.74704
0.74342,0.42296,0.33221,0.73091
